bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
cbasp_c,N-Carbamoyl-L-aspartate,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
cddec5eACP_c,Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1),,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
cdpdodecg_c,"CDP-1,2-dioctadecanoylglycerol",,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
cdpdtdecg_c,"CDP-1,2-ditetradecanoylglycerol",,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,OUT,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
cpe160_c,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)",,OUT,,,,,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
cpe180_c,"Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)",,OUT,,,,,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
crn_c,L-Carnitine,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS,,,,,,,,IN,IS,IS,IS,IS,IS,IS,IS
ctbtcoa_c,Crotonobetainyl-CoA,,,,,,,,,IS,,IS,IS,IS,,,,,,,,,,,IS,,IS,IS,IS,,
cys__L_c,L-Cysteine,OUT,OUT,IS,IS,IS,IS,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,OUT,OUT,OUT,IS,IS,IS,IS,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,OUT
cyst__L_c,L-Cystathionine,,IN,,,,,GSC,GSC,GSC,,GSC,IN,GSC,GSC,GSC,,IN,,,,,GSC,GSC,GSC,,GSC,IN,GSC,GSC,GSC
cytd_c,Cytidine,,,,,,,IS,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,IS,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
datp_c,DATP C10H12N5O12P3,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
dcamp_c,"N6-(1,2-Dicarboxyethyl)-AMP",GSC,GSC,IN,IN,IN,IN,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,GSC,IN,IN,IN,IN,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
ddca_c,Dodecanoate (n-C12:0),,OUT,IS,IS,IS,IS,,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC,,OUT,IS,IS,IS,IS,,GSC,GSC,OUT,GSC,GSC,GSC,GSC,GSC
